1001#rus#sockeye2	Экстремистские достижения в области тайной коммуникации Как экстремистские группы развивают возможности тайной связи с технологией?
1002#rus#sockeye2	Методы инструментов Убийства Какие инструменты и методы используются при покушении на убийство?
1003#rus#sockeye2	Смерти людей, страдающих от потрясений Человеческие стампеды / трещины, которые приводят к гибели людей
1004#rus#sockeye2	Городской пожар с многочисленными смертельными исходами Подробная информация о крупных городских пожарах, приводящих к гибели многих людей
1005#rus#sockeye2	политические последствия Кемеровского пожара Каковы политические последствия реакции общественности на кемеровский пожар?
1006#rus#sockeye2	Эбола в Демократической Республике Конго Какова была степень вспышки Эболы в Демократической Республике Конго в 2018 году?
1007#rus#sockeye2	Си Цзиньпин президент на всю жизнь Национальный народный конгресс КНР проголосовал за отмену сроков президентства Си Цзиньпина.
1008#rus#sockeye2	Французский протест налоги на топливо Информация о протестах во Франции против повышения налогов на топливо и возможных результатах протестов.
1009#rus#sockeye2	преступник Индия групповое изнасилование Что случилось с лицами, совершившими групповое изнасилование и убийство 23-летней женщины в автобусе в Южном Дели?
1010#rus#sockeye2	Премьер-министр может повлиять на потерю выборов Как плохое выступление Консервативной партии на выборах 2017 года повлияло на премьер-министра Терезу Мэй?
1011#rus#sockeye2	Празднование прекращения вражды Подробная информация о церемониях, проведенных в ознаменование исторического прекращения боевых действий
1012#rus#sockeye2	Прекращение работы правительства США Подробная информация о остановках федерального правительства США
1013#rus#sockeye2	Макс 8 Удар при столкновении Boeing Как компания Boeing пострадала от аварий своего самолета 737 Max 8?
1014#rus#sockeye2	Преступления Ниссан в Госне Что сделал бывший председатель Nissan Carlos Ghosn после того, как его обвинили в совершении преступлений?
1015#rus#sockeye2	Дроны разрушают аэропорт Гатвик Индент в аэропорту Гатвика, когда беспилотники нарушили движение аэропорта
1016#rus#sockeye2	Эквадор реагирует на кибератаки Эквадор принимает меры в ответ на кибератаки и утечку информации.
1017#rus#sockeye2	Применение химического оружия Алеппо Сирия Как применялось химическое оружие в Алеппо, Сирия?
1018#rus#sockeye2	Саммит Северной Кореи и США в Ханое Каковы итоги Ханойского саммита между Северной Кореей и США?
1019#rus#sockeye2	Япония объявила Reiwa Японское правительство 1 апреля 2019 года объявило о названии эпохи « Рейва »
1020#rus#sockeye2	Политические последствия выхода из Парижского соглашения Какова международная реакция на выход Соединенных Штатов из Парижского соглашения?
1021#rus#sockeye2	Антиконкурентная конкуренция Amazon Практикует ли Amazon антиконкурентное поведение?
1022#rus#sockeye2	Беженцы рохинджа Бангладеш Какова реакция Аунг Сан Су Чжи на то, что происходит с беженцами рохинджа в Бангладеш, которые были насильственно перемещены из Мьянмы?
1023#rus#sockeye2	Террористические минометы в деревнях Алеппо Найти статьи с подробным описанием минометного обстрела как акта терроризма в деревнях вблизи Алеппо.
1024#rus#sockeye2	США Гимнастика сексуальные надругательства скандал Реакция на новости США Гимнастика сексуальное насилие скандал
1025#rus#sockeye2	Отношения между США и Филиппинами с Дутерте Как выборы Родриго Дутерте повлияли на отношения между США и Филиппинами?
1026#rus#sockeye2	Законы Индии о сексуальных посягательствах Каким образом предыдущие случаи сексуального насилия в отношении молодых женщин сказываются на индийских законах о сексуальном насилии и наказаниях за него?
1027#rus#sockeye2	Американско-филиппинская кампания по борьбе с наркоманией Как американско-филиппинская кампания по борьбе с наркотиками повлияла на национальную безопасность на Филиппинах?
